,subnet,sum(bytes)
310,163.191.188.*,15917.0
311,163.191.195.*,7512.0
312,163.206.111.*,53638.0
313,163.234.112.*,275863.0
314,163.234.116.*,179570.0
315,163.234.128.*,19220.0
316,163.234.140.*,81936.0
317,163.234.156.*,31525.0
318,163.234.188.*,12588.0
319,163.234.204.*,108987.0
320,163.234.224.*,604773.0
321,163.234.34.*,53603.0
322,163.234.52.*,2873.0
323,163.234.60.*,9807.0
324,164.155.1.*,271513.0
325,164.156.42.*,14450.0
326,164.158.3.*,35178.0
327,164.159.192.*,43100.0
328,164.159.7.*,307570.0
329,164.167.106.*,137252.0
330,164.64.142.*,235403.0
331,165.1.8.*,74884.0
332,165.110.45.*,80583.0
333,165.113.166.*,26475.0
334,165.13.6.*,9384.0
335,165.151.26.*,4950.0
336,165.151.47.*,284453.0
337,165.151.51.*,3532.0
338,165.152.208.*,27129.0
339,165.152.88.*,2624.0
340,165.213.131.*,23813.0
341,165.234.109.*,23944.0
342,165.235.39.*,11746.0
343,167.193.49.*,80092.0
344,167.193.53.*,117812.0
345,167.21.131.*,32036.0
346,168.154.26.*,11747.0
347,168.29.232.*,18900.0
348,168.95.125.*,156621.0
349,169.14.20.*,61262.0
350,170.142.111.*,207919.0
351,170.55.130.*,4889.0
352,192.102.13.*,9279.0
353,192.107.65.*,11747.0
354,192.122.180.*,68165.0
355,192.137.112.*,142748.0
356,192.137.113.*,36430.0
357,192.146.118.*,147980.0
358,192.147.170.*,15209.0
359,192.154.33.*,11747.0
360,192.195.68.*,38602.0
361,192.217.118.*,18323.0
362,192.217.93.*,71519.0
363,192.228.164.*,7758.0
364,192.231.202.*,56431.0
365,192.231.222.*,14963.0
366,192.234.8.*,59544.0
367,192.239.66.*,39857.0
368,192.239.68.*,11747.0
369,192.246.181.*,4889.0
370,192.246.249.*,15019.0
371,192.246.73.*,80786.0
372,192.246.82.*,22215.0
373,192.249.10.*,102607.0
374,192.43.248.*,11746.0
375,192.48.125.*,310715.0
376,192.55.134.*,14507.0
377,192.58.194.*,9060.0
378,192.58.204.*,5897.0
379,192.58.206.*,115587.0
380,192.72.60.*,7513.0
381,192.74.216.*,15081.0
382,192.88.13.*,166495.0
383,193.144.48.*,9502.0
384,193.145.151.*,88485.0
385,193.56.6.*,10301.0
386,193.63.73.*,3421.0
387,193.78.67.*,6085.0
388,194.151.3.*,19396.0
389,194.158.224.*,11746.0
390,194.166.2.*,18280.0
391,194.20.235.*,211300.0
392,194.90.3.*,4888.0
393,198.102.1.*,78317.0
394,198.102.67.*,3182052.0
395,198.104.228.*,173062.0
396,198.105.194.*,47538.0
397,198.106.169.*,788749.0
398,198.108.132.*,5250.0
399,198.109.136.*,386134.0
400,198.109.184.*,14450.0
401,198.109.24.*,36851.0
402,198.110.207.*,35749.0
403,198.111.36.*,4888.0
404,198.137.145.*,290483.0
405,198.165.30.*,232428.0
406,198.185.178.*,11747.0
407,198.215.148.*,32272.0
408,198.216.2.*,23877.0
409,198.234.90.*,33221.0
410,198.31.73.*,78256.0
411,198.5.6.*,14507.0
412,198.59.172.*,25431.0
413,198.59.241.*,5882.0
414,198.59.96.*,23554.0
415,198.69.241.*,34462.0
416,198.76.115.*,11746.0
417,198.77.113.*,92897.0
418,198.80.60.*,24063.0
419,198.83.164.*,7030.0
420,198.85.72.*,169843.0
421,198.86.33.*,14392.0
422,198.88.26.*,220449.0
423,199.1.106.*,60892.0
424,199.11.48.*,38378.0
425,199.11.62.*,32331.0
426,199.111.26.*,16635.0
427,199.126.17.*,190561.0
428,199.16.15.*,0.0
429,199.170.121.*,9234.0
430,199.170.79.*,15275.0
431,199.190.112.*,4889.0
432,199.190.82.*,28946.0
433,199.199.170.*,841.0
434,199.213.177.*,35156.0
435,199.217.3.*,94474.0
436,199.222.161.*,0.0
437,199.222.162.*,47666.0
438,199.223.31.*,1724.0
439,199.249.179.*,3852.0
440,199.4.102.*,5250.0
441,199.73.129.*,75178.0
442,199.73.153.*,11747.0
443,199.77.34.*,253685.0
444,199.77.66.*,112011.0
445,199.8.210.*,221831.0
446,199.89.158.*,3508.0
447,199.89.39.*,16085.0
448,200.10.224.*,19645.0
449,200.12.140.*,0.0
450,200.246.227.*,432768.0
451,200.246.240.*,14850.0
452,202.244.226.*,13205.0
453,202.32.50.*,159922.0
454,202.39.249.*,378246.0
455,202.46.240.*,20658.0
456,202.96.29.*,10296.0
457,203.1.203.*,73853.0
458,203.2.83.*,10788.0
459,203.249.9.*,88045.0
460,203.251.228.*,3785626.0
461,204.120.34.*,32988.0
462,204.130.16.*,758336.0
